n calls (143671010 primitive calls) in 165.255 seconds

Ordered by: cumulative time

ncalls  tottime  percall  cumtime  percall filename:lineno(function)
1002/1    0.046    0.000  165.297  165.297 {built-in method exec}
1         0.002    0.002  165.297  165.297 experiment.py:24(<module>)
1         0.002    0.002  152.984  152.984 category_explorer.py:330(run_selection_procedure)
100       0.002    0.000  151.173    1.512 learning_search.py:456(step)
200       0.039    0.000  150.796    0.754 search.py:238(next_cost_state_pairs)
1494/134  1.373    0.001  150.755    1.125 {built-in method sorted}
34486     0.088    0.000  117.152    0.003 search.py:248(<lambda>)
34486     0.115    0.000  117.064    0.003 search_space.py:87(__repr__)
103547/69061    0.114    0.000  116.516    0.002 {built-in method repr}
34486     0.054    0.000  116.364    0.003 category_explorer.py:89(__repr__)
34486     0.287    0.000  115.963    0.003 dictionary.py:77(__repr__)
34486    31.795    0.001  115.675    0.003 dictionary.py:74(__str__)
17575619 15.550    0.000   63.321    0.000 dictionary.py:53(__getitem__)
17575619 31.094    0.000   45.878    0.000 lookuptree.py:40(__getitem__)
34590     0.049    0.000   32.233    0.001 search.py:230(_compute_next_cost_state_pairs)
34486     0.074    0.000   31.940    0.001 search.py:272(cost_fn)
34486     0.165    0.000   31.711    0.001 features.py:120(compute_one)
34492     0.176    0.000   31.417    0.001 {built-in method fromiter}
275888    0.258    0.000   31.254    0.000 features.py:121(<genexpr>)
345355/172925    0.295    0.000   30.464    0.000 features.py:228(compute_one)
345370/172940    0.401    0.000   30.059    0.000 features.py:218(_get_value_cached)
172435/172430    0.370    0.000   29.724    0.000 features.py:170(compute_one)
34486     0.072    0.000   24.240    0.001 dictionary.py:62(keys)
34486    2.983    0.000   24.118    0.001 dictionary.py:64(<listcomp>)
34486    0.207    0.000   23.438    0.001 category_explorer.py:300(parent_child_similarity_incremental)
35179/35159    0.078    0.000   23.186    0.001 {built-in method max}
68560    0.081    0.000   23.107    0.000 category_explorer.py:311(<genexpr>)
34075    0.273    0.000   22.093    0.001 util.py:137(stem_jaccard)
45074579/16856552   21.197    0.000   21.197    0.000 lookuptree.py:7(__iter__)
68150    0.098    0.000   15.361    0.000 util.py:124(word_list)
68150    0.073    0.000   15.228    0.000 __init__.py:86(word_tokenize)
42257169   14.785    0.000   14.785    0.000 lookuptree.py:180(_getbits)
1076/2    0.012    0.000   12.311    6.155 <frozen importlib._bootstrap>:2234(_find_and_load)
1076/2    0.011    0.000   12.311    6.155 <frozen importlib._bootstrap>:2207(_find_and_load_unlocked)
878/2    0.008    0.000   12.310    6.155 <frozen importlib._bootstrap>:1186(_load_unlocked)
759/2    0.002    0.000   12.310    6.155 <frozen importlib._bootstrap>:1122(_exec)
759/2    0.006    0.000   12.310    6.155 <frozen importlib._bootstrap>:1465(exec_module)
4893/1021    0.008    0.000   12.277    0.012 <frozen importlib._bootstrap>:2264(_handle_fromlist)
1098/2    0.002    0.000   12.275    6.138 <frozen importlib._bootstrap>:313(_call_with_frames_removed)
515/1    0.002    0.000   12.275   12.275 {built-in method __import__}
1    0.000    0.000   12.245   12.245 category_explorer.py:15(<module>)
68150    0.112    0.000   10.927    0.000 __init__.py:93(<listcomp>)
68150    0.943    0.000   10.814    0.000 treebank.py:59(tokenize)
1    0.000    0.000    8.674    8.674 learning_search.py:15(<module>)
1    0.000    0.000    8.659    8.659 util.py:15(<module>)
1772177    6.588    0.000    8.306    0.000 {method 'sub' of '_sre.SRE_Pattern' objects}
759    0.018    0.000    8.031    0.011 <frozen importlib._bootstrap>:1534(get_code)
760    2.086    0.003    7.776    0.010 <frozen importlib._bootstrap>:1621(get_data)
1090513    0.803    0.000    6.542    0.000 re.py:168(sub)
147405    0.121    0.000    6.083    0.000 util.py:120(stem_word)
147405    3.387    0.000    5.962    0.000 snowball.py:673(stem)
760    5.690    0.007    5.690    0.007 {method 'read' of '_io.FileIO' objects}
2    0.001    0.000    5.213    2.606 __init__.py:17(<module>)
757499    0.489    0.000    4.818    0.000 category_explorer.py:71(is_explored)
101    0.021    0.000    4.611    0.046 search.py:252(step)
793063    0.901    0.000    4.582    0.000 dictionary.py:44(get)
68150    0.133    0.000    4.228    0.000 __init__.py:75(sent_tokenize)
115366    0.079    0.000    3.400    0.000 util.py:138(<genexpr>)
