         9617420 function calls (9313603 primitive calls) in 22.809 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   1002/1    0.044    0.000   22.871   22.871 {built-in method exec}
        1    0.002    0.002   22.871   22.871 experiment.py:24(<module>)
   1076/2    0.012    0.000   13.579    6.790 <frozen importlib._bootstrap>:2234(_find_and_load)
   1076/2    0.011    0.000   13.579    6.790 <frozen importlib._bootstrap>:2207(_find_and_load_unlocked)
    878/2    0.009    0.000   13.542    6.771 <frozen importlib._bootstrap>:1186(_load_unlocked)
    759/2    0.001    0.000   13.542    6.771 <frozen importlib._bootstrap>:1122(_exec)
    759/2    0.006    0.000   13.542    6.771 <frozen importlib._bootstrap>:1465(exec_module)
4903/1031    0.007    0.000   13.522    0.013 <frozen importlib._bootstrap>:2264(_handle_fromlist)
   1098/2    0.002    0.000   13.520    6.760 <frozen importlib._bootstrap>:313(_call_with_frames_removed)
    515/1    0.002    0.000   13.520   13.520 {built-in method __import__}
        1    0.000    0.000   13.513   13.513 category_explorer.py:15(<module>)
        1    0.000    0.000    9.615    9.615 learning_search.py:15(<module>)
        1    0.000    0.000    9.554    9.554 util.py:15(<module>)
        1    0.002    0.002    9.290    9.290 category_explorer.py:330(run_selection_procedure)
      759    0.018    0.000    7.754    0.010 <frozen importlib._bootstrap>:1534(get_code)
      760    1.477    0.002    7.470    0.010 <frozen importlib._bootstrap>:1621(get_data)
      100    0.001    0.000    7.264    0.073 learning_search.py:456(step)
      200    0.023    0.000    7.014    0.035 search.py:239(next_cost_state_pairs)
 1317/135    0.021    0.000    6.991    0.052 {built-in method sorted}
    24073    0.027    0.000    6.972    0.000 search.py:231(_compute_next_cost_state_pairs)
    23968    0.041    0.000    6.792    0.000 search.py:273(cost_fn)
    23968    0.087    0.000    6.656    0.000 features.py:120(compute_one)
    23976    0.107    0.000    6.503    0.000 {built-in method fromiter}
   191744    0.173    0.000    6.403    0.000 features.py:121(<genexpr>)
      760    5.993    0.008    5.993    0.008 {method 'read' of '_io.FileIO' objects}
240175/120335    0.199    0.000    5.904    0.000 features.py:228(compute_one)
240195/120355    0.276    0.000    5.636    0.000 features.py:218(_get_value_cached)
