         132940896 function calls (127617902 primitive calls) in 109.848 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  7181788   15.843    0.000   22.980    0.000 lookuptree.py:40(__getitem__)
  7181788    9.567    0.000   33.597    0.000 dictionary.py:53(__getitem__)
  7181788    7.451    0.000   41.049    0.000 dictionary.py:44(get)
 18006766    7.141    0.000    7.141    0.000 lookuptree.py:180(_getbits)
4099400/2050955    4.431    0.000   81.746    0.000 features.py:218(_get_value_cached)
  6768125    4.362    0.000   42.706    0.000 category_explorer.py:79(is_explored)
2048450/2048445    4.210    0.000   77.894    0.000 features.py:170(compute_one)
4099385/2050940    3.207    0.000   85.905    0.000 features.py:228(compute_one)
   409689    3.181    0.000   22.426    0.000 category_explorer.py:210(relevant_links_per_node_incremental)
   409689    3.079    0.000   20.930    0.000 category_explorer.py:237(irrelevant_links_per_node_incremental)
  3285572    2.785    0.000    4.178    0.000 _collections_abc.py:502(__iter__)
  3277512    2.642    0.000   93.904    0.000 features.py:121(<genexpr>)
  4099400    2.113    0.000    3.516    0.000 features.py:211(_get_create_feature_cache)
   409689    1.997    0.000   18.636    0.000 category_explorer.py:337(parent_child_similarity_incremental)
   409695    1.581    0.000   95.370    0.000 {built-in method fromiter}
   409689    1.456    0.000   97.958    0.000 features.py:120(compute_one)
   424191    1.450    0.000    5.394    0.000 util.py:144(word_jaccard)
  3417435    1.426    0.000    1.426    0.000 __init__.py:83(__iter__)
   409689    1.306    0.000    1.907    0.000 category_explorer.py:306(proportion_of_leaf_nodes_incremental)
   409695    1.295    0.000    1.295    0.000 {built-in method dot}
  4108602    1.286    0.000    1.286    0.000 {built-in method getattr}
  1229564    1.121    0.000    1.219    0.000 wikiapi.py:217(parents)
   833879    1.078    0.000    9.222    0.000 category_explorer.py:346(<genexpr>)
  7184842    1.051    0.000    1.051    0.000 {built-in method hash}
  1229564    1.030    0.000    1.108    0.000 wikiapi.py:225(children)
   409689    1.020    0.000    4.457    0.000 category_explorer.py:259(depth_per_node_incremental)
1788570/587688    1.007    0.000    1.007    0.000 lookuptree.py:7(__iter__)
  4099407    0.923    0.000    0.923    0.000 features.py:34(name)
   848382    0.789    0.000    0.789    0.000 util.py:136(<listcomp>)
   409689    0.766    0.000  100.020    0.000 search.py:273(cost_fn)
   411562    0.751    0.000   16.083    0.000 {built-in method max}
   833879    0.715    0.000   15.332    0.000 category_explorer.py:348(<genexpr>)
   410191    0.713    0.000    0.977    0.000 category_explorer.py:284(normalized_graph_size)
2462329/2461830    0.677    0.000    0.846    0.000 search_space.py:81(state)
   424191    0.672    0.000    1.141    0.000 util.py:131(jaccard_sim)
   853880    0.647    0.000    0.647    0.000 {method 'split' of 'str' objects}
   848382    0.585    0.000    1.374    0.000 util.py:135(without_stopwords)
  4103016    0.568    0.000    0.568    0.000 {method 'get' of 'dict' objects}
      504    0.537    0.001    1.114    0.002 category_explorer.py:194(<listcomp>)
   409689    0.534    0.000    0.534    0.000 search_space.py:76(__init__)
   408233    0.516    0.000    1.182    0.000 search.py:85(_trim_to_size)
   820376    0.479    0.000    1.519    0.000 features.py:64(compute_one)
  2049489    0.456    0.000    0.456    0.000 category_explorer.py:120(node)
  2458641    0.440    0.000    0.440    0.000 search_space.py:60(previous)
     1000    0.439    0.000  104.223    0.104 search.py:239(next_cost_state_pairs)
   410193    0.435    0.000  103.457    0.000 search.py:231(_compute_next_cost_state_pairs)
   203866    0.430    0.000    0.603    0.000 heapq.py:390(nsmallest)
   408233    0.430    0.000    1.836    0.000 search.py:90(put)
   848382    0.428    0.000    1.068    0.000 util.py:122(cheap_tokenize)
   410706    0.417    0.000    0.699    0.000 _collections_abc.py:441(items)
   410238    0.399    0.000    3.080    0.000 category_explorer.py:94(depth)
3087471/3086369    0.395    0.000    0.396    0.000 {built-in method len}
  2461137    0.387    0.000    0.387    0.000 category_explorer.py:64(size)
   409689    0.362    0.000    0.362    0.000 category_explorer.py:116(__init__)
   848382    0.362    0.000    1.430    0.000 util.py:125(word_list)
  1575339    0.359    0.000    0.359    0.000 category_explorer.py:345(<genexpr>)
